request_id,amount_safe_to_pay,affordability_status,recommended_payment_method,payment_plan,earliest_date_for_full_payment,spending_changes_needed,decision_explanation
request_52,18701.97,affordable_later,wait,2024-06-15:28870.0,2024-06-15,none,"The requested amount cannot be paid today or via installments, but becomes fully affordable on 2024-06-15 while maintaining the minimum balance of INR 41500.00."
request_53,477.89,affordable_with_plan,installments,2025-11-21:589.06|2025-12-19:589.06|2026-01-16:589.06,2026-01-15,stop:event_4897,The requested amount cannot be fully paid today without breaching the minimum balance. The recommended installment plan is safe and completes by the desired deadline. This requires applying the recommended spending changes.
request_54,2064.79,not_affordable,not_recommended,none,,none,The request is not affordable within the forecast period without breaching the minimum balance of ZAR 37000.00.
request_55,125909.04,affordable_with_plan,installments,2026-06-11:75781.33|2026-07-12:75781.33|2026-08-12:75781.33,2026-08-16,stop:event_5073|reduce_to:event_5155:2750.00,The requested amount cannot be fully paid today without breaching the minimum balance. The recommended installment plan is safe and completes by the desired deadline. This requires applying the recommended spending changes.
request_56,623.64,affordable_with_plan,partial_payment,2025-02-03:623.6400000000003|2025-02-15:257.9199999999996,2025-02-15,none,"The requested amount cannot be fully paid today without breaching the minimum balance. A partial payment of USD 623.64 can be made today, with the remainder on 2025-02-15."
request_57,12657.18,affordable_later,wait,2026-06-16:61446.0,2026-06-16,none,"The requested amount cannot be paid today or via installments, but becomes fully affordable on 2026-06-16 while maintaining the minimum balance of ZAR 42700.00."
request_58,0.0,not_affordable,not_recommended,none,,none,The request is not affordable within the forecast period without breaching the minimum balance of IDR 14433900.00.
request_59,140600.0,affordable_with_plan,installments,2025-05-07:48741.33|2025-06-04:48741.33|2025-07-02:48741.33,2025-05-04,none,The requested amount cannot be fully paid today without breaching the minimum balance. The recommended installment plan is safe and completes by the desired deadline.
request_60,117.49,affordable_later,wait,2026-02-16:199.89,2026-02-16,none,"The requested amount cannot be paid today or via installments, but becomes fully affordable on 2026-02-16 while maintaining the minimum balance of USD 400.00."
request_61,29062.0,not_affordable,not_recommended,none,,none,The request is not affordable within the forecast period without breaching the minimum balance of ZAR 36700.00.
request_62,404.23,affordable_now,full_payment,2025-08-05:404.23,2025-08-05,none,"The requested amount is fully affordable today, maintaining the required minimum balance of USD 1300.00."
request_63,48377.59,not_affordable,not_recommended,none,,none,The request is not affordable within the forecast period without breaching the minimum balance of INR 153500.00.
request_64,0.0,not_affordable,not_recommended,none,,none,The request is not affordable within the forecast period without breaching the minimum balance of INR 36100.00.
request_65,5782.77,not_affordable,not_recommended,none,,none,The request is not affordable within the forecast period without breaching the minimum balance of ZAR 15500.00.
request_66,22200.0,affordable_now,full_payment,2026-04-03:22200.0,2026-04-03,none,"The requested amount is fully affordable today, maintaining the required minimum balance of INR 80700.00."
request_67,292.95,affordable_later,wait,2024-12-17:2094.0,2024-12-17,none,"The requested amount cannot be paid today or via installments, but becomes fully affordable on 2024-12-17 while maintaining the minimum balance of USD 1200.00."
request_68,1361.56,affordable_with_plan,installments,2025-02-14:725.09|2025-03-14:725.09|2025-04-11:725.09,2025-03-23,none,The requested amount cannot be fully paid today without breaching the minimum balance. The recommended installment plan is safe and completes by the desired deadline.
request_69,465.6,affordable_with_plan,full_payment,2026-01-04:529.1,,stop:event_6377|reduce_to:event_6379:16.40,The requested amount can be safely paid through a structured payment plan. This requires applying the recommended spending changes.
request_70,49475.42,affordable_later,wait,2025-03-19:243900.0,2025-03-19,none,"The requested amount cannot be paid today or via installments, but becomes fully affordable on 2025-03-19 while maintaining the minimum balance of INR 115000.00."
request_71,472941.16,not_affordable,not_recommended,none,,none,The request is not affordable within the forecast period without breaching the minimum balance of IDR 8884800.00.
request_72,11330.0,affordable_now,full_payment,2026-07-05:11330.0,2026-07-05,none,"The requested amount is fully affordable today, maintaining the required minimum balance of ZAR 12200.00."
request_73,64300.7,affordable_later,wait,2023-02-15:71400.0,2023-02-15,none,"The requested amount cannot be paid today or via installments, but becomes fully affordable on 2023-02-15 while maintaining the minimum balance of INR 103200.00."
request_74,5010.0,affordable_now,full_payment,2025-08-04:5010.0,2025-08-04,none,"The requested amount is fully affordable today, maintaining the required minimum balance of ZAR 21900.00."
request_75,26058.4,not_affordable,not_recommended,none,,none,The request is not affordable within the forecast period without breaching the minimum balance of ZAR 39000.00.
request_76,116.36,not_affordable,not_recommended,none,,none,The request is not affordable within the forecast period without breaching the minimum balance of USD 1800.00.
request_77,60700.0,affordable_now,full_payment,2025-11-05:60700.0,2025-11-05,none,"The requested amount is fully affordable today, maintaining the required minimum balance of INR 82200.00."
request_78,46080.34,affordable_later,wait,2025-11-16:50200.0,2025-11-16,none,"The requested amount cannot be paid today or via installments, but becomes fully affordable on 2025-11-16 while maintaining the minimum balance of INR 55200.00."
request_79,188.18,not_affordable,not_recommended,none,,none,The request is not affordable within the forecast period without breaching the minimum balance of EUR 1000.00.
request_80,28598.34,not_affordable,not_recommended,none,,none,The request is not affordable within the forecast period without breaching the minimum balance of INR 121300.00.
request_81,1920.67,affordable_with_plan,full_payment,2026-07-03:2076.0,,reduce_to:event_7624:37.50,The requested amount can be safely paid through a structured payment plan. This requires applying the recommended spending changes.
request_82,394.17,affordable_later,wait,2025-06-20:1405.2,2025-06-20,none,"The requested amount cannot be paid today or via installments, but becomes fully affordable on 2025-06-20 while maintaining the minimum balance of USD 1100.00."
request_83,7202.37,not_affordable,not_recommended,none,,none,The request is not affordable within the forecast period without breaching the minimum balance of INR 37800.00.
request_84,28776.49,affordable_with_plan,wait,2026-05-16:95400.0,2026-07-17,stop:event_7825|reduce_to:event_7915:1730.00,The requested amount can be safely paid through a structured payment plan. This requires applying the recommended spending changes.
request_85,374061.81,not_affordable,not_recommended,none,,none,The request is not affordable within the forecast period without breaching the minimum balance of IDR 6396300.00.
request_86,46300.0,affordable_now,full_payment,2025-08-03:46300.0,2025-08-03,none,"The requested amount is fully affordable today, maintaining the required minimum balance of INR 84900.00."
request_87,18037.34,not_affordable,not_recommended,none,,none,The request is not affordable within the forecast period without breaching the minimum balance of INR 185900.00.
request_88,10497.62,affordable_with_plan,installments,2024-06-14:9045.23|2024-07-15:9045.23|2024-08-15:9045.23,2024-07-16,none,The requested amount cannot be fully paid today without breaching the minimum balance. The recommended installment plan is safe and completes by the desired deadline.
request_89,9226703.57,affordable_with_plan,installments,2025-11-18:4768746.67|2025-12-16:4768746.67|2026-01-13:4768746.67,2026-03-19,stop:event_8307|reduce_to:event_8309:266760.00|reduce_to:event_8391:203300.00,The requested amount cannot be fully paid today without breaching the minimum balance. The recommended installment plan is safe and completes by the desired deadline. This requires applying the recommended spending changes.
request_90,2560.0,affordable_now,full_payment,2026-07-06:2560.0,2026-07-06,none,"The requested amount is fully affordable today, maintaining the required minimum balance of ZAR 7600.00."
request_91,455.1,affordable_later,wait,2025-03-15:1927.2,2025-03-15,none,"The requested amount cannot be paid today or via installments, but becomes fully affordable on 2025-03-15 while maintaining the minimum balance of EUR 2100.00."
request_92,34034.0,affordable_now,full_payment,2025-02-05:34034.0,2025-02-05,none,"The requested amount is fully affordable today, maintaining the required minimum balance of ZAR 28100.00."
request_93,1729.2,affordable_now,full_payment,2026-04-07:1729.2,2026-04-07,none,"The requested amount is fully affordable today, maintaining the required minimum balance of USD 1900.00."
request_94,572.0,affordable_now,full_payment,2024-12-04:572.0,2024-12-04,none,"The requested amount is fully affordable today, maintaining the required minimum balance of EUR 600.00."
request_95,4013.74,not_affordable,not_recommended,none,,none,The request is not affordable within the forecast period without breaching the minimum balance of INR 145500.00.
request_96,74311.34,affordable_with_plan,installments,2026-01-10:31269.33|2026-02-09:31269.33|2026-03-11:31269.33,2026-02-15,none,The requested amount cannot be fully paid today without breaching the minimum balance. The recommended installment plan is safe and completes by the desired deadline.
request_97,1833.87,affordable_with_plan,installments,2024-03-19:8145.28|2024-04-19:8145.28|2024-05-20:8145.28,2024-04-15,none,The requested amount cannot be fully paid today without breaching the minimum balance. The recommended installment plan is safe and completes by the desired deadline.
request_98,5625.2,not_affordable,not_recommended,none,,none,The request is not affordable within the forecast period without breaching the minimum balance of ZAR 30000.00.
request_99,16890.9,affordable_with_plan,full_payment,2026-07-04:18062.0,2026-07-15,reduce_to:event_9220:1065.90,The requested amount can be safely paid through a structured payment plan. This requires applying the recommended spending changes.
request_100,25888.98,affordable_with_plan,installments,2024-06-13:12866.19|2024-07-14:12866.19|2024-08-14:12866.19,2024-07-15,none,The requested amount cannot be fully paid today without breaching the minimum balance. The recommended installment plan is safe and completes by the desired deadline.
request_101,143500.0,affordable_now,full_payment,2025-11-03:143500.0,2025-11-03,none,"The requested amount is fully affordable today, maintaining the required minimum balance of INR 187400.00."
request_102,1716.0,affordable_with_plan,installments,2026-04-05:594.88|2026-05-05:594.88|2026-06-04:594.88,2026-04-05,none,The requested amount cannot be fully paid today without breaching the minimum balance. The recommended installment plan is safe and completes by the desired deadline.
request_103,1095.3,affordable_later,wait,2025-06-15:368300.0,2025-06-15,none,"The requested amount cannot be paid today or via installments, but becomes fully affordable on 2025-06-15 while maintaining the minimum balance of INR 125500.00."
request_104,7627.37,not_affordable,not_recommended,none,,none,The request is not affordable within the forecast period without breaching the minimum balance of ZAR 24700.00.
request_105,51553.55,affordable_with_plan,full_payment,2026-06-08:53500.0,2026-06-15,reduce_to:event_9688:1632.00,The requested amount can be safely paid through a structured payment plan. This requires applying the recommended spending changes.
request_106,440.12,affordable_with_plan,wait,2025-02-15:2207.7,2025-03-18,reduce_to:event_9855:29.00,The requested amount can be safely paid through a structured payment plan. This requires applying the recommended spending changes.
request_107,2436.35,affordable_with_plan,installments,2025-05-08:878.59|2025-06-05:878.59|2025-07-03:878.59,2025-06-15,none,The requested amount cannot be fully paid today without breaching the minimum balance. The recommended installment plan is safe and completes by the desired deadline.
request_108,2317.45,not_affordable,not_recommended,none,,none,The request is not affordable within the forecast period without breaching the minimum balance of ZAR 24100.00.
request_109,556.7,not_affordable,not_recommended,none,,none,The request is not affordable within the forecast period without breaching the minimum balance of EUR 1700.00.
request_110,22352.0,affordable_with_plan,installments,2025-08-06:7748.69|2025-09-03:7748.69|2025-10-01:7748.69,2025-08-06,none,The requested amount cannot be fully paid today without breaching the minimum balance. The recommended installment plan is safe and completes by the desired deadline.
request_111,16625000.0,affordable_now,full_payment,2026-04-03:16625000.0,2026-04-03,none,"The requested amount is fully affordable today, maintaining the required minimum balance of IDR 23022800.00."
request_112,218.08,affordable_with_plan,full_payment,2024-06-05:271.7,,reduce_to:event_10388:13.00,The requested amount can be safely paid through a structured payment plan. This requires applying the recommended spending changes.
request_113,18391.46,affordable_later,wait,2026-10-15:36500.0,2026-10-15,none,"The requested amount cannot be paid today or via installments, but becomes fully affordable on 2026-10-15 while maintaining the minimum balance of INR 82300.00."
request_114,49353.59,affordable_later,wait,2026-02-16:65300.0,2026-02-16,none,"The requested amount cannot be paid today or via installments, but becomes fully affordable on 2026-02-16 while maintaining the minimum balance of INR 113400.00."
request_115,14552.2,affordable_later,wait,2024-11-15:80500.0,2024-11-15,none,"The requested amount cannot be paid today or via installments, but becomes fully affordable on 2024-11-15 while maintaining the minimum balance of INR 38800.00."
request_116,7550.39,not_affordable,not_recommended,none,,none,The request is not affordable within the forecast period without breaching the minimum balance of INR 80300.00.
request_117,848.69,affordable_with_plan,full_payment,2026-07-05:880.0,2026-07-15,stop:event_10809|reduce_to:event_10866:20.50,The requested amount can be safely paid through a structured payment plan. This requires applying the recommended spending changes.
request_118,629.58,affordable_with_plan,installments,2024-12-07:255.87|2025-01-07:255.87|2025-02-07:255.87,2025-02-16,stop:event_10883|reduce_to:event_10885:14.00,The requested amount cannot be fully paid today without breaching the minimum balance. The recommended installment plan is safe and completes by the desired deadline. This requires applying the recommended spending changes.
request_119,59845.0,affordable_with_plan,installments,2025-05-18:70546.67|2025-06-15:70546.67|2025-07-13:70546.67,2025-07-15,reduce_to:event_10986:2655.00|reduce_to:event_11049:2370.00,The requested amount cannot be fully paid today without breaching the minimum balance. The recommended installment plan is safe and completes by the desired deadline. This requires applying the recommended spending changes.
request_120,7714000.0,affordable_now,full_payment,2026-04-06:7714000.0,2026-04-06,none,"The requested amount is fully affordable today, maintaining the required minimum balance of IDR 20050300.00."
request_121,633.6,affordable_now,full_payment,2024-03-03:633.6,2024-03-03,none,"The requested amount is fully affordable today, maintaining the required minimum balance of USD 800.00."
request_122,20558000.0,affordable_with_plan,installments,2025-08-05:7126773.33|2025-09-02:7126773.33|2025-09-30:7126773.33,2025-08-05,none,The requested amount cannot be fully paid today without breaching the minimum balance. The recommended installment plan is safe and completes by the desired deadline.
request_123,4076000.0,affordable_now,full_payment,2026-01-07:4076000.0,2026-01-07,none,"The requested amount is fully affordable today, maintaining the required minimum balance of IDR 18091200.00."
request_124,1406.49,affordable_with_plan,installments,2024-06-11:1076.12|2024-07-12:1076.12|2024-08-12:1076.12,2024-07-16,none,The requested amount cannot be fully paid today without breaching the minimum balance. The recommended installment plan is safe and completes by the desired deadline.
request_125,5490.44,affordable_later,wait,2025-11-15:6468.0,2025-11-15,none,"The requested amount cannot be paid today or via installments, but becomes fully affordable on 2025-11-15 while maintaining the minimum balance of ZAR 11300.00."
request_126,159600.0,affordable_now,full_payment,2026-07-03:159600.0,2026-07-03,none,"The requested amount is fully affordable today, maintaining the required minimum balance of INR 129700.00."
request_127,7933.25,affordable_later,wait,2024-10-15:23980.0,2024-10-15,none,"The requested amount cannot be paid today or via installments, but becomes fully affordable on 2024-10-15 while maintaining the minimum balance of ZAR 41000.00."
request_128,25168.0,affordable_now,full_payment,2025-02-07:25168.0,2025-02-07,none,"The requested amount is fully affordable today, maintaining the required minimum balance of ZAR 42600.00."
request_129,110.47,not_affordable,not_recommended,none,,none,The request is not affordable within the forecast period without breaching the minimum balance of USD 800.00.
request_130,405.41,affordable_later,wait,2025-02-16:1978.8,2025-02-16,none,"The requested amount cannot be paid today or via installments, but becomes fully affordable on 2025-02-16 while maintaining the minimum balance of USD 1400.00."
request_131,1110.68,not_affordable,not_recommended,none,,none,The request is not affordable within the forecast period without breaching the minimum balance of USD 1100.00.
request_132,285.0,affordable_later,wait,2026-01-16:379.86,2026-01-16,none,"The requested amount cannot be paid today or via installments, but becomes fully affordable on 2026-01-16 while maintaining the minimum balance of USD 1100.00."
request_133,0.0,not_affordable,not_recommended,none,,none,The request is not affordable within the forecast period without breaching the minimum balance of IDR 9986200.00.
request_134,4469014.82,affordable_later,wait,2025-12-17:21831000.0,2025-12-17,none,"The requested amount cannot be paid today or via installments, but becomes fully affordable on 2025-12-17 while maintaining the minimum balance of IDR 15902500.00."
request_135,273.59,affordable_with_plan,full_payment,2026-07-06:304.8,2026-07-15,stop:event_12389|reduce_to:event_12446:17.50,The requested amount can be safely paid through a structured payment plan. This requires applying the recommended spending changes.
request_136,496.37,affordable_later,wait,2024-06-15:560.4,2024-06-15,none,"The requested amount cannot be paid today or via installments, but becomes fully affordable on 2024-06-15 while maintaining the minimum balance of USD 1100.00."
request_137,16291.85,not_affordable,not_recommended,none,,none,The request is not affordable within the forecast period without breaching the minimum balance of INR 71800.00.
request_138,996.36,affordable_with_plan,partial_payment,2026-04-07:996.3600000000001|2026-04-15:260.5799999999999,2026-04-15,none,"The requested amount cannot be fully paid today without breaching the minimum balance. A partial payment of EUR 996.36 can be made today, with the remainder on 2026-04-15."
request_139,1368.31,affordable_with_plan,installments,2024-09-07:802.88|2024-10-08:802.88|2024-11-08:802.88,2024-10-16,none,The requested amount cannot be fully paid today without breaching the minimum balance. The recommended installment plan is safe and completes by the desired deadline.
request_140,1622.98,not_affordable,not_recommended,none,,none,The request is not affordable within the forecast period without breaching the minimum balance of ZAR 21600.00.
request_141,17674.24,not_affordable,not_recommended,none,,none,The request is not affordable within the forecast period without breaching the minimum balance of INR 67300.00.
request_142,1263.6,affordable_now,full_payment,2024-12-05:1263.6,2024-12-05,none,"The requested amount is fully affordable today, maintaining the required minimum balance of USD 1700.00."
request_143,2383.22,affordable_later,wait,2025-09-17:12584.0,2025-09-17,none,"The requested amount cannot be paid today or via installments, but becomes fully affordable on 2025-09-17 while maintaining the minimum balance of ZAR 11300.00."
request_144,233.34,affordable_now,full_payment,2026-07-04:233.34,2026-07-04,none,"The requested amount is fully affordable today, maintaining the required minimum balance of USD 600.00."
request_145,26335.7,not_affordable,not_recommended,none,,none,The request is not affordable within the forecast period without breaching the minimum balance of INR 155400.00.
request_146,14054.86,affordable_later,wait,2026-03-20:449400.0,2026-03-20,none,"The requested amount cannot be paid today or via installments, but becomes fully affordable on 2026-03-20 while maintaining the minimum balance of INR 108600.00."
request_147,462.16,affordable_with_plan,installments,2026-04-08:391.63|2026-05-08:391.63|2026-06-07:391.63,2026-05-15,none,The requested amount cannot be fully paid today without breaching the minimum balance. The recommended installment plan is safe and completes by the desired deadline.
request_148,7665.48,affordable_with_plan,installments,2024-06-14:7710.56|2024-07-15:7710.56|2024-08-15:7710.56,2024-07-16,stop:event_13563,The requested amount cannot be fully paid today without breaching the minimum balance. The recommended installment plan is safe and completes by the desired deadline. This requires applying the recommended spending changes.
request_149,22039.11,affordable_with_plan,installments,2025-11-18:12706.03|2025-12-16:12706.03|2026-01-13:12706.03,2026-01-16,reduce_to:event_13671:1013.76,The requested amount cannot be fully paid today without breaching the minimum balance. The recommended installment plan is safe and completes by the desired deadline. This requires applying the recommended spending changes.
request_150,225.79,not_affordable,not_recommended,none,,none,The request is not affordable within the forecast period without breaching the minimum balance of EUR 700.00.
request_151,26999000.0,affordable_now,full_payment,2024-09-03:26999000.0,2024-09-03,none,"The requested amount is fully affordable today, maintaining the required minimum balance of IDR 31633600.00."
request_152,11035.96,not_affordable,not_recommended,none,,none,The request is not affordable within the forecast period without breaching the minimum balance of ZAR 11900.00.
request_153,0.0,not_affordable,not_recommended,none,,none,The request is not affordable within the forecast period without breaching the minimum balance of USD 1400.00.
request_154,0.0,not_affordable,not_recommended,none,,none,The request is not affordable within the forecast period without breaching the minimum balance of EUR 1300.00.
request_155,112500.0,affordable_now,full_payment,2025-05-06:112500.0,2025-05-06,none,"The requested amount is fully affordable today, maintaining the required minimum balance of INR 56300.00."
request_156,9999.54,affordable_later,wait,2026-06-16:43076.0,2026-06-16,none,"The requested amount cannot be paid today or via installments, but becomes fully affordable on 2026-06-16 while maintaining the minimum balance of ZAR 26900.00."
request_157,4352610.76,affordable_later,wait,2024-07-19:23503000.0,2024-07-19,none,"The requested amount cannot be paid today or via installments, but becomes fully affordable on 2024-07-19 while maintaining the minimum balance of IDR 15714100.00."
request_158,242600.0,affordable_with_plan,installments,2025-08-07:84101.33|2025-09-04:84101.33|2025-10-02:84101.33,2025-08-07,none,The requested amount cannot be fully paid today without breaching the minimum balance. The recommended installment plan is safe and completes by the desired deadline.
request_159,13398.0,affordable_now,full_payment,2026-01-04:13398.0,2026-01-04,none,"The requested amount is fully affordable today, maintaining the required minimum balance of ZAR 8700.00."
request_160,574.47,affordable_with_plan,installments,2024-06-13:432.05|2024-07-14:432.05|2024-08-14:432.05,2024-07-16,none,The requested amount cannot be fully paid today without breaching the minimum balance. The recommended installment plan is safe and completes by the desired deadline.
request_161,6845704.21,affordable_later,wait,2026-07-21:21204000.0,2026-07-21,none,"The requested amount cannot be paid today or via installments, but becomes fully affordable on 2026-07-21 while maintaining the minimum balance of IDR 23010400.00."
request_162,1159061.72,affordable_later,wait,2026-12-15:83923000.0,2026-12-15,none,"The requested amount cannot be paid today or via installments, but becomes fully affordable on 2026-12-15 while maintaining the minimum balance of IDR 24161100.00."
request_163,8239209.8,not_affordable,not_recommended,none,,none,The request is not affordable within the forecast period without breaching the minimum balance of IDR 26728700.00.
request_164,27018000.0,affordable_with_plan,installments,2025-02-11:9366240.0|2025-03-11:9366240.0|2025-04-08:9366240.0,2025-02-04,none,The requested amount cannot be fully paid today without breaching the minimum balance. The recommended installment plan is safe and completes by the desired deadline.
request_165,60585.55,affordable_with_plan,full_payment,2026-04-06:80600.0,,stop:event_15111|reduce_to:event_15112:1048.00|reduce_to:event_15165:1875.00,The requested amount can be safely paid through a structured payment plan. This requires applying the recommended spending changes.
request_166,2907.6,affordable_with_plan,installments,2024-12-03:1007.97|2025-01-03:1007.97|2025-02-03:1007.97,2024-12-03,none,The requested amount cannot be fully paid today without breaching the minimum balance. The recommended installment plan is safe and completes by the desired deadline.
request_167,43802.0,affordable_now,full_payment,2025-05-05:43802.0,2025-05-05,none,"The requested amount is fully affordable today, maintaining the required minimum balance of ZAR 31200.00."
request_168,25745.24,affordable_with_plan,partial_payment,2026-01-07:26285.24000000002|2026-02-16:23094.75999999998,2026-03-19,stop:event_15332,"The requested amount cannot be fully paid today without breaching the minimum balance. A partial payment of INR 25745.24 can be made today, with the remainder on 2026-03-19. This requires applying the recommended spending changes."
request_169,41976.0,affordable_now,full_payment,2024-03-04:41976.0,2024-03-04,none,"The requested amount is fully affordable today, maintaining the required minimum balance of ZAR 18700.00."
request_170,30291648.42,affordable_with_plan,installments,2025-08-06:12804480.0|2025-09-03:12804480.0|2025-10-01:12804480.0,2025-09-15,none,The requested amount cannot be fully paid today without breaching the minimum balance. The recommended installment plan is safe and completes by the desired deadline.
request_171,30.56,not_affordable,not_recommended,none,,none,The request is not affordable within the forecast period without breaching the minimum balance of EUR 500.00.
request_172,9598.68,affordable_with_plan,partial_payment,2024-06-05:9598.68|2024-06-15:601.3199999999997,2024-06-15,none,"The requested amount cannot be fully paid today without breaching the minimum balance. A partial payment of ZAR 9598.68 can be made today, with the remainder on 2024-06-15."
request_173,52640.85,affordable_with_plan,installments,2025-11-21:39173.33|2025-12-19:39173.33|2026-01-16:39173.33,,reduce_to:event_15832:1272.00|reduce_to:event_15922:2105.00,The requested amount cannot be fully paid today without breaching the minimum balance. The recommended installment plan is safe and completes by the desired deadline. This requires applying the recommended spending changes.
request_174,1146.2,not_affordable,not_recommended,none,,none,The request is not affordable within the forecast period without breaching the minimum balance of EUR 700.00.
request_175,2346.3,affordable_now,full_payment,2024-09-06:2346.3,2024-09-06,none,"The requested amount is fully affordable today, maintaining the required minimum balance of EUR 1700.00."
request_176,0.0,not_affordable,not_recommended,none,,none,The request is not affordable within the forecast period without breaching the minimum balance of EUR 600.00.
request_177,1017.6,affordable_now,full_payment,2026-01-05:1017.6,2026-01-05,none,"The requested amount is fully affordable today, maintaining the required minimum balance of USD 1300.00."
request_178,2938.1,affordable_with_plan,installments,2024-12-07:1018.54|2025-01-07:1018.54|2025-02-07:1018.54,2024-12-07,none,The requested amount cannot be fully paid today without breaching the minimum balance. The recommended installment plan is safe and completes by the desired deadline.
request_179,6458243.33,affordable_later,wait,2025-10-18:41648000.0,2025-10-18,none,"The requested amount cannot be paid today or via installments, but becomes fully affordable on 2025-10-18 while maintaining the minimum balance of IDR 41430800.00."
request_180,66500.0,affordable_now,full_payment,2026-07-06:66500.0,2026-07-06,none,"The requested amount is fully affordable today, maintaining the required minimum balance of INR 37300.00."
request_181,286.76,not_affordable,not_recommended,none,,none,The request is not affordable within the forecast period without breaching the minimum balance of USD 2000.00.
request_182,65714.0,affordable_now,full_payment,2025-08-05:65714.0,2025-08-05,none,"The requested amount is fully affordable today, maintaining the required minimum balance of ZAR 31100.00."
